"","schoolname","schoolcode","sssdistrict","ssslong","ssslat"
"179","GHANA SENIOR HIGH./TECH. SCHOOL, TAKORADI",40104,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"180","ST. MARY'S SENIOR HIGH. SCHOOL, KORLE GONNO",10102,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"181","ABUAKWA STATE COLLEGE, KIBI",21303,"East Akim (Kibi)",-0.454344213008881,6.17855787277222
"182","ACHIMOTA SENIOR HIGH SCHOOL, ACHIMOTA-ACCRA",10110,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"183","OKUAPEMAN SENIOR HIGH SCHOOL, AKROPONG",20402,"Akwapim North (Akropong)",-0.166071146726608,5.97642612457275
"184","MFANTSIMAN GIRLS SENIOR HIGH. SCH, SALTPOND",30301,"Mfantsiman (Saltpond)",-1.00645339488983,5.20152807235718
"185","AGGREY MEMORIAL A.M.E. ZION SENIOR HIGH. SCH., CAPE COAST",30401,"Abura/Asebu/Kwamankese (Abura Dunkwa)",-1.19708836078644,5.13000059127808
"186","FIJAI SENIOR HIGH. SCHOOL, SEKONDI",40105,"Shama/Ahanta/East (Sekondi/Takoradi)",-1.62365472316742,5.0811014175415
"187","WINNEBA SENIOR HIGH SCHOOL, WINNEBA",30601,"Awutu/Efutu/Senya (Winneba)",-0.508638918399811,5.54489612579346
"188","OLA GIRLS SENIOR HIGH. SCHOOL, KENYASI",61201,"Asutifi (Kenyasi)",-2.51506805419922,7.02809381484985
"189","NEW JUABEN SENIOR HIGH./COMM. SCH., KOFORIDUA",20103,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"190","ASANTEMAN SENIOR HIGH SCHOOL, BANTAMA",50101,"Kumasi Metro",-1.59718716144562,6.68205976486206
"191","LABONE SENIOR HIGH SCHOOL, LABONE-ACCRA",10117,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"192","WESLEY GRAMMAR SCHOOL, DANSOMAN",10103,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"193","OFORI PANIN SENIOR HIGH. SCH, KUKURANTUMI",21302,"East Akim (Kibi)",-0.454344213008881,6.17855787277222
"194","KSI WESLEY GIRLS' HIGH SCHOOL, KUMASI",50114,"Kumasi Metro",-1.59718716144562,6.68205976486206
"195","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,"Tema",-0.0500882156193256,5.69031476974487
"196","S.D.A SENIOR HIGH SCHOOL, BEKWAI",50301,"Amansie East (Bekwai)",-1.37072885036469,6.38336086273193
"197","ASANTEMAN SENIOR HIGH SCHOOL, BANTAMA",50101,"Kumasi Metro",-1.59718716144562,6.68205976486206
"198","T.I. AHMAD. SENIOR HIGH. SCHOOL, KUMASI",50104,"Kumasi Metro",-1.59718716144562,6.68205976486206
"199","ST THOMAS AQUINAS SENIOR HIGH. SCHOOL, CANTONMENTS",10105,"Accra Metropolitan",-0.197115257382393,5.6073956489563
"200","ST JOHN'S GRAMMAR SENIOR HIGH. SCH., NEW ACHIMOTA",10501,"Ga West (Amasaman)",-0.397510528564453,5.6646876335144
"201","TAMALE SENIOR HIGH SCHOOL, TAMALE",80101,"Tamale",-0.784348249435425,9.38335132598877
"202","SUNYANI SENIOR HIGH SCHOOL, SUNYANI",60104,"Sunyani",-2.3274233341217,7.34467792510986
"203","KOFORIDUA SENIOR HIGH./TECH. SCH., KOFORIDUA",20101,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"204","KOFORIDUA SENIOR HIGH./TECH. SCH., KOFORIDUA",20101,"New Juaben (Koforidua)",-0.297512322664261,6.1126127243042
"205","TEMA SENIOR HIGH. SCHOOL, TEMA COMM. 5",10201,"Tema",-0.0500882156193256,5.69031476974487
